Video ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
cFWfDwh8L58,INDONESIANS REACT TO,MOONSTAR88 - MIGRAINE ON WISH107.5,,,,,,,,,,,,,,,,
i-qD_1SJHCA,-,,,,,,,,,,,,,,,,,
ofAlWngDmpE,JITLER,OR...,WHAT KIND OF,APOLOGY IS THAT?!,,,,,,,,,,,,,,
E25RII9cCqE,GINATAANG KALDERETA,,,,,,,,,,,,,,,,,
1Es0kYdryIo,PORK ADOBO TASTE TEST,,,,,,,,,,,,,,,,,
eA8lP_ey2us,AMAZINGLY ACCURATE~,DO WATCH THE ORIGINAL VIDEO!,INDONESIANS REACT TO,KATRINA VELARDE - IMPERSONATING SINGERS 3,,,,,,,,,,,,,,
Xe0-gR7QLzY,BLUEST WATER,WE'VE EVER,SEEN,,,,,,,,,,,,,,,
vdrDeuqIL7Y,KATRINA,VELARDE,GO THE DISTANCE,REACTION,WHAT A VOICE!,,,,,,,,,,,,,
xEN-6sHYdvo,LEGENDS,NEVER DIE!,,,,,,,,,,,,,,,,
1QhgYA7ZBMs,SHE SANG WITH,HEART & HONESTY,,,,,,,,,,,,,,,,
LnWyJX4WGV4,INDONESIANS REACT TO,TOP 10 PLACES TO VISIT IN PHILIPPINES,,,,,,,,,,,,,,,,
N23RE2S0MFY,WHY DO FILIPINOS,LOVE BASKETBALL?,,,,,,,,,,,,,,,,
ohgI0njOVqY,KAHIT,KAILAN,,,,,,,,,,,,,,,,
W_RKH8DOuWM,FRENCH PEOPLE,FLUENT,IN TAGALOG ?!,WE HAVE SOMETHING,IN COMMON!,,,,,,,,,,,,,
HjsVWP7cyaY,Chinese Try,Filipino Instant Noodles,,,,,,,,,,,,,,,,
A5fwoL64Rsk,Blind audition,THE PINK,HOODIE GUY,,,,,,,,,,,,,,,
7aLmPpGdCfY,-,,,,,,,,,,,,,,,,,
Q2qWvIiJ6sI,Angelica Hale,What About Us,,,,,,,,,,,,,,,,
oqQwMDptEYA,-,,,,,,,,,,,,,,,,,
Jp7L7w9P38Y,I ♥ YOU,,,,,,,,,,,,,,,,,
OPpj2eJZxXM,AMAZING!,REACTION,,,,,,,,,,,,,,,,
ClPKuIYDIqc,REACTION,,,,,,,,,,,,,,,,,
G1q80doOQNY,-,,,,,,,,,,,,,,,,,
en0xYIxPSuA,SUPER,POWERFUL,REACTION,,,,,,,,,,,,,,,
CLt4trXvXU8,HALA HALA,,,,,,,,,,,,,,,,,
WzZQH65Okrs,-,,,,,,,,,,,,,,,,,
J4d_nLGfPlw,-,,,,,,,,,,,,,,,,,
RUtEnXAwbpo,SWEETEST THING EVER!,,,,,,,,,,,,,,,,,
GqDnZ8sjulk,WHO STOOD OUT?,,,,,,,,,,,,,,,,,
eeDYK-DA76E,wish1075.com,,,,,,,,,,,,,,,,,
6zEZDVvoM5Y,-,,,,,,,,,,,,,,,,,
fE5Kxc8oiPg,PLEASE DON'T,FIGHT:(,,,,,,,,,,,,,,,,
QfKlvulQ2dA,INDONESIANS REACT TO,EUMEE CAPILE,COVERS 'LISTEN',ON WISH 107.5 BUS,,,,,,,,,,,,,,
IO7c-dqWtQc,PHILIPPINES-US,Military exercises,,,,,,,,,,,,,,,,
D5gHHFW2x3w,Don't Do,This In:,,,,,,,,,,,,,,,,
SEDnYrH_f9Y,SO CUTE!!,,,,,,,,,,,,,,,,,
PlaMItN8aa0,IS THIS STILL MANILA???,,,,,,,,,,,,,,,,,
_JOiXFC26Vk,ALJAZEERA,,,,,,,,,,,,,,,,,
PM6vFN-SFpU,JUST,LOVE,,,,,,,,,,,,,,,,
UtPSGNu07dU,WHEN FOREIGNERS RESPECT FILIPINOS,,#3,,THE GOAT!,,,,,,,,,,,,,
M0cMYrofJtY,FIRST MEAL,IN MANILA!,WHAT DID,WE ORDER???,,,,,,,,,,,,,,
UZkxfvmT41s,BEST BBQ OF,PHILIPPINES?!,,,,,,,,,,,,,,,,
xR_ofAFkHhI,MISS UNIVERSE,CONFIDENTLY BEAUTIFUL,,,,,,,,,,,,,,,,
jigHmoPcAlI,REACTION,,,,,,,,,,,,,,,,,
tKfpTf3MqE4,Chinese react To KZ's,Mandarian song,,,,,,,,,,,,,,,,
Vo1MZ8qqzQo,#GGVVusapangLalaki,GANDANG GABI,,,,,,,,,,,,,,,,
xQtMdNiSXlU,LILY & LUCY INTERVIEW,,,,,,,,,,,,,,,,,
7VPx2aCZFlo,Independence,Day At,Rizal,Park,,,,,,,,,,,,,,
zi4ILQFHMsE,Filipino,Sam smith,Parody,,Stay with me,Reaction,,,,,,,,,,,,
jxnG4c4dHRU,CHARMING,Hot!,radio-friendly,,,,,,,,,,,,,,,
xp7F-KgRmKo,INDONESIANS REACT TO,HIUBANG SHOW,REGINE VELASQUEZ SINGS 'ARAW-GABI' ON WISH 107.5 BUS,,,,,,,,,,,,,,,
SSA0JCtT27c,EDWARD BENOSA  MORISSETTE AMON,,,,,,,,,,,,,,,,,
fCjTmzbvo-8,WORLD DNA,SOUTH CHINA,SEA FACEOFF,,,,,,,,,,,,,,,
wLhDZLEhVn4,Ayala Center Mall,,,,,,,,,,,,,,,,,
gOgTEJcF0mk,KOREA FAMOUS,BOY BAND GROUP,BTS,,,,,,,,,,,,,,,
Mp-yqdfa3K8,TERRIBLE,SINGING,,,,,,,,,,,,,,,,
o4DUTUSYMX0,PHILIPPINES VLOG 05,~ 1ST TIME TRYING JOLLIBEE ~,,,,,,,,,,,,,,,,
nk5Dclo0Pbg,SHERYN REGIS,IS A BEAST!,,,,,,,,,,,,,,,,
3E7o3l_k01w,VIDEO REACTION DESPACITO PARODY TAGALOG,,,,,,,,,,,,,,,,,
igh6iitJaYo,LAING,NA GABI,,,,,,,,,,,,,,,,
RXrKUTh81oU,3 THINGS!,PHILIPPINES,THIS NEEDS TO CHANGE,,,,,,,,,,,,,,,
dbt8LnEGAoI,Trying to learn Tagalog,,,,,,,,,,,,,,,,,
Q4dxx8y6Qjc,ALJAZEERA,,,,,,,,,,,,,,,,,
JQKkic9od7s,IN MY FEELS,,,,,,,,,,,,,,,,,
Fa49uACjB34,Pinoy Trends • KZ Tandingan • Anak,,,,,,,,,,,,,,,,,
OsgTMyIGVeo,TOP 10,SHOCKING,FACTS ABOUT THE,PHILIPPINES,,,,,,,,,,,,,,
UVHzPPNuYeg,B*TCH YOU GONNA DIE,,,,,,,,,,,,,,,,,
IIdwZofDi64,BBQ,In,Manila,,,,,,,,,,,,,,,
khNjjnnoVqo,PHILIPPINES,ROCK!,,,,,,,,,,,,,,,,
oJhSQFGK4bI,JULIE ANNE,SAN JOSE,,,,,,,,,,,,,,,,
8wd8E_AsOU4,-,,,,,,,,,,,,,,,,,
z2bCT-I3QWs,Te Amo,,,,,,,,,,,,,,,,,
xOdza-g-fkU,FILIPINO SNACKS,,,,,,,,,,,,,,,,,
xYf0qQkrp3I,ILLIVE,,,,,,,,,,,,,,,,,
GdxiOBvyDZE,-,,,,,,,,,,,,,,,,,
KvI3OEkYL4A,파수도,& 퇴치,스어도,,,,,,,,,,,,,,,
M8qo6HWcSTQ,-,,,,,,,,,,,,,,,,,
4rbQMsxQ5Eo,Korean Ginataang Gulay!,,,,,,,,,,,,,,,,,
Ktt6qBKLDl4,A WHOLE NEW WORLD,23 YEARS LATER,LEA SALONGA,BRAD KANE,REACTION,,,,,,,,,,,,,
af2QAb1-_Yk,billboard,NEWS,,,,,,,,,,,,,,,,
SqVa0vkJ8Rw,#ASAPBigWelcome,LATE NIGHT WHEN YOU NEED MY LOVE,,,,,,,,,,,,,,,,
X5ksGwjLlnM,THEY ARE,SO CUTE!,,,,,,,,,,,,,,,,
LWG8PiyZRuk,REACTION,,,,,,,,,,,,,,,,,
hTa25I1SqjU,I LOOOOVED,HIS ORIGINAL,SONG,,,,,,,,,,,,,,,
MNcMDSvNo_I,-,,,,,,,,,,,,,,,,,
HjZ7ieWqdu0,ANG PANDAY REACTION!,,,,,,,,,,,,,,,,,
QdPrDvufrZo,LAP TRIP!!!,,,,,,,,,,,,,,,,,
gcyDysculAc,BRUNO MARS,VERSACE ON THE,FLOOR,REACTION,,,,,,,,,,,,,,
ncM9ij4xDt4,-,,,,,,,,,,,,,,,,,
q5hENGzL2BE,ELHA,NYMPHA,,,,,,,,,,,,,,,,
PfQt-5yf_fA,UNEXPECTED,HELP!,,,,,,,,,,,,,,,,
cv0FazANxAs,DIDN'T,EXPECT THIS,IN BICOL,,,,,,,,,,,,,,,
qdw-RpmOO34,WHOA!!!,NAILED IT!!!!!!!,,,,,,,,,,,,,,,,
s7DZifm7TyM,DOS & GAB WEDDING!!!,REACTION,,,,,,,,,,,,,,,,
04rjNrZe9L8,they are so LIT,,,,,,,,,,,,,,,,,
OXZoPhgENEg,12 Ways,,,,,,,,,,,,,,,,,
9SJDXgUpuEY,MASARAP,PANCIT &,PALABOK!,,,,,,,,,,,,,,,
Q0br4Ujitu0,FAROE ISLANDS,ASIAN WOMEN,,,,,,,,,,,,,,,,
aoc1_LwKaUg,KILLER,CHICKEN ADOBO,,,,,,,,,,,,,,,,
MttG7NB1ilk,Red Velvet,Bad Boy,,,,,,,,,,,,,,,,
LU1_eh94nnQ,-,,,,,,,,,,,,,,,,,
eohXqL9Vju8,MAHAL KITA!,,,,,,,,,,,,,,,,,
izC3PpKfnhc,FOLLOW,ME  PHILIPPINES PT. 2,WITH HARNAAZ SANDHU,,,,,,,,,,,,,,,
aRhLGffqjgk,I BODYROLLED,TOO HARD O_O,,,,,,,,,,,,,,,,
WGIGMmv4agU,I'M SICK!,,,,,,,,,,,,,,,,,
Vmc3bqrUrJA,PHILIPPINES,,,,,,,,,,,,,,,,,
ue-VLup-y2M,-,,,,,,,,,,,,,,,,,
YzaFRUelDYI,WHY WE DO FILIPINO REACTIONS,,,,,,,,,,,,,,,,,
qR1WV3uIRbQ,MY TOP 10,IDOL PHILIPPINES,AUDITIONS,,,,,,,,,,,,,,,
-hZbzxAx9iA,ANOTHER BLOCKBUSTER MOVIE OF KATHNIEL,#KissingScene,#BedScene,,,,,,,,,,,,,,,
ZNvMlpYInxc,AMERICANS REACTION,MANNY PACQUIAO,VS,UGAS Fight,GALIT SI,KANO,THEAHERN FAMILY,,,,,,,,,,,
5a3TmWMLu5Y,Kwek,Kwek,&,MORE!,NIGHT,MARKET,,,,,,,,,,,,
MtY8UxPgAUc,FILIPINO,BBQ,,,,,,,,,,,,,,,,
jBhzBCoyJEc,SAD,,,,,,,,,,,,,,,,,
6refuE2GuO4,TEXTURES!!!!,THEIR INTUITION,PAID OFF!!!,,,,,,,,,,,,,,,
MbDhb5ty-cU,"ALSO, I APOLOGIZE FOR...",A TRUE,CHAMPION!,,,,,,,,,,,,,,,
FpcetHtZE1I,ALJAZEERA EXCLUSIVE,,,,,,,,,,,,,,,,,
UdG0M1SMRtI,Jollibee,Round 2,McBeards,Dully D,,,,,,,,,,,,,,
wi2BBQ9rnSQ,BIRIT QUEENS,JONAMORISSETTE,MARIAH GRANDE,MEDLEY,REACTION,,,,,,,,,,,,,
JyespbKFTZE,The,PHILIPPINES,SHOCKING TRUTH!,,,,,,,,,,,,,,,
abV2I3VV704,INDONESIANS REACT TO,MADRIGAL SINGERS PH - LASKAR PELANGI,,,,,,,,,,,,,,,,
G8eoFJEYIjA,A5!,B6!,HIGHER ??,BRUUUHH!,,,,,,,,,,,,,,
DjyX2TzZVBs,TOKIDO'S LEGENDARY,EVO RUN,ICONIC,ESPORTS MOMENTS,,,,,,,,,,,,,,
opGw2wulDpw,PHILIPPINES,Christmas,,,,,,,,,,,,,,,,
1rDTRnOUuPc,MUSCLE,STIMULATOR,CHALLENGE!!!,,,,,,,,,,,,,,,
Mg58cqXP4q4,Filipinos are...,,,,,,,,,,,,,,,,,
arlIzyIIj2U,BOTH OF US,CONCERT,,,,,,,,,,,,,,,,
viFXAsWBNZo,MIKEY,BUSTOS,,,,,,,,,,,,,,,,
Z9hd4KX1G3Y,Manny Pacquiao's,MOM,YOUR,FACE,SOUNDS,FAMILIAR,,,,,,,,,,,,
NnaW8-F3VwM,YOU CALL THIS A SPORT?!,,,,,,,,,,,,,,,,,
LjlXy3sfKo4,FILIPINO SINGERS SLAYING WHISTLE/HEADVOICE REGISTERS,SHE SOUNDED,LIKE A BIRD!,,,,,,,,,,,,,,,
yRG7pwa-OEg,MORISHAY,,,,,,,,,,,,,,,,,
Pfo6mik9xok,FINAL,WALK,(FORMER),,,,,,,,,,,,,,,
y6c0XunzeGo,MORISSETTE SHINES!!,REACTION,,,,,,,,,,,,,,,,
vCqmAESDnKM,I,Stopped,Breathing,,What,Happens,Now?,,,,,,,,,,,
BIvwtnPDipg,-,,,,,,,,,,,,,,,,,
7jpvU2TLsIM,PARANGAL,,,,,,,,,,,,,,,,,
x9rCuZfyZOM,LCS,-,RSE,AUTIFUL,,,,,,,,,,,,,,
4rDIA40plOA,ALJAZEERA,,,,,,,,,,,,,,,,,
GO86Dfu89FQ,FANTASTIC,,,,,,,,,,,,,,,,,
LL1OSB5ao-w,BETTER THAN THE,KARAOKE VERSION?,,,,,,,,,,,,,,,,
QkDA1pbcgoY,Steve Calderon,Go for 8,Roosalyn Silva,Come açúcar....,Robb TWiZTID,Dude he needs to eat three more. Dude skipped three times it the clown popped up. Hahaha!,LOS ANGELES,HOME,,,,,,,,,,
r2ulQhBXE-k,ALJAZEERA,,,,,,,,,,,,,,,,,
w46jhpYGeKc,INDONESIANS REACT TO,SASSA DAGDAG - THE SHOW (WISH BUS),,,,,,,,,,,,,,,,
RATU56d2Owo,BEST CHRISTMAS STATION!?!,,,,,,,,,,,,,,,,,
xnektBuTaDs,KENNY,DAVE,CANEDO,LEAD THE,WAY,REACTION,,,,,,,,,,,,
kMmWSCJq7pM,TAGPUAN,,,,,,,,,,,,,,,,,
nY-YiI3hP_c,FILIPINO FOOD,,,,,,,,,,,,,,,,,
-HmG-L3piEE,AWESOME!,HKTV REACTION,,,,,,,,,,,,,,,,
x7-NWS85q7w,TNT Boys,WORLD'S GREATEST,REACTION,,,,,,,,,,,,,,,
TRU2d2TM0MU,Ube,CAKE,,,,,,,,,,,,,,,,
IM2jDoGwX_w,PAKSIW NA BANGUS,,,,,,,,,,,,,,,,,
UnbNT1sYtzc,SARAH GERONIMO,JASON DY BEAUTY,& THE BEAST,REACTION PT. 1,,,,,,,,,,,,,,
IYmduy7pjeo,We Got Lost,,,,,,,,,,,,,,,,,
OQz52FZQ2w4,ANOTHER TITLE,FOR THE PHILIPPINES,,,,,,,,,,,,,,,,
CHdTSslLRrQ,RESPONDING,TO MGN,,,,,,,,,,,,,,,,
BOlcMowlEvY,SO GOOD!,REACTION,,,,,,,,,,,,,,,,
h3ZBhgAi8SU,Teaching,,,,,,,,,,,,,,,,,
tHfQrY_3gKU,-,,,,,,,,,,,,,,,,,
95frnzvILcw,LO SIENTO,,,,,,,,,,,,,,,,,
cntVFWMLfFI,FOREIGNERS JUDGE FILIPINOS,,,,,,,,,,,,,,,,,
xYJLURu3cl0,-,,,,,,,,,,,,,,,,,
vu2wk8P_RpM,OFF THE AIR,IS THIS,TRUE??!,,,,,,,,,,,,,,,
Cu6Byq8yaUk,HOMECOMING!!!,,,,,,,,,,,,,,,,,
kWzLkfP_zhk,"33,000",,,,,,,,,,,,,,,,,
zJgCoiQE-yo,CHOI,oops...,,,,,,,,,,,,,,,,
8wlLXq47Cb8,WOW!,,,,,,,,,,,,,,,,,
pRSFbn2IJDI,ALJAZEERA,,,,,,,,,,,,,,,,,
SiiYQYaNG_k,THE BATTLE OF,YULTONG,,,,,,,,,,,,,,,,
WD23NWQqk4o,-,,,,,,,,,,,,,,,,,
-OJnaNi0Pdg,50 PHRASES,YOU MUST-KNOW,,,,,,,,,,,,,,,,
ISWN1yWnhfA,-,,,,,,,,,,,,,,,,,
W67gfJeeOeE,Im here To Keep,,,,,,,,,,,,,,,,,
N927v_gij30,ALJAZEERA,,,,,,,,,,,,,,,,,
iYNHOoADEN0,BEST MOVIE!,REACTION,,,,,,,,,,,,,,,,
CeoIf8m9knQ,Jollibee,Perfect Pair,,,,,,,,,,,,,,,,
Q1RVdu_RLmQ,LOST THE KEYS,IN THE JUNGLE,,,,,,,,,,,,,,,,
_iwYr_FG9f8,전체,,,,,,,,,,,,,,,,,
fT4-aIX9wp8,FILIPINOS ARE HELPFUL,,,,,,,,,,,,,,,,,
bVraM0NAEa4,SIGNS,,,,,,,,,,,,,,,,,
1J_qscMZfd8,MCBREAKUP,REACTION,,,,,,,,,,,,,,,,
lw0W4iSHbaw,PURPLE YAM,"BROOKLYN, NY",,,,,,,,,,,,,,,,
Fm5BUiNMWSU,Wish,*USA*,,,,,,,,,,,,,,,,
DSp3J_vFO3s,FAVORITE VERSION EVER!!!,,,,,,,,,,,,,,,,,
pF8-DI-fk_I,ALJAZEERA,,,,,,,,,,,,,,,,,
sTN5HmiDQFI,VS,,,,,,,,,,,,,,,,,
RYd-EkXeZ0c,Teaghlach,,,,,,,,,,,,,,,,,
SmsG86qqVg0,-,,,,,,,,,,,,,,,,,
M6wnZCYU-GU,Reactions,Reviews,Gaming,Vlogs,,,,,,,,,,,,,,
Tiqm49VqjkI,AMAZING!!!,REACTION,,,,,,,,,,,,,,,,
5VZ-xg-iCU0,You Tube,,,,,,,,,,,,,,,,,
8BTSAvGBTwA,CREAMY,LENGUA W/ CORN,,,,,,,,,,,,,,,,
K8O6s94vkAU,MOMMY,PLAYING IN,THE BEACH,WITH THE,KIDS.,,,,,,,,,,,,,
q4y4mrNA43A,WAW!,UNCANNY RESEMBLANCE,,,,,,,,,,,,,,,,
bif3eGTrXNM,VLOG 3,PHILIPPINE PESO,,,,,,,,,,,,,,,,
_sKx3r8clbo,HE'S GOOD,BUT,I'VE HEARD,BETTER,Really,21 accents?,,,,,,,,,,,,
r6ifmo3dp4Y,WEARING MY,NEW SPEEDOS,IN BORACAY,,,,,,,,,,,,,,,
deglj8memQg,LGU',,,,,,,,,,,,,,,,,
_YWNJnDOeVo,KAIN TAYO!,,,,,,,,,,,,,,,,,
YndbAJDipdg,WORLD'S SEXIEST ACCENT!,SEXY OR CUTE?,"""Manyak!""",vs.,,,,,,,,,,,,,,
SBucSj3QSTI,SO HAPPY!,REACTION,,,,,,,,,,,,,,,,
GoK3GgqS9Ms,PALITAW,,,,,,,,,,,,,,,,,
K7fff-RzVAs,YOUR FACE SOUNDS FAMILIAR KIDS,,,,,,,,,,,,,,,,,
-uihp4i1xNk,THAT'S WHAT FRIENDS ARE FOR!,,,,,,,,,,,,,,,,,
00RVLaKUzcI,TODAY LAST YEAR,HIUBANG SHOW REACTS TO,HIUBANG SHOW FIRST EPISODE,,,,,,,,,,,,,,,
G0dRdDqLha0,INDONESIANS REACT TO,AWESOME FILIPINO RAP SONG ON WISH BUS,,,,,,,,,,,,,,,,
Fo_nS9wrcXM,-,,,,,,,,,,,,,,,,,
SxBfMviGMw0,Love,And,Hate,,,,,,,,,,,,,,,
hSrg1_g5Abo,DESPACITO,,,,,,,,,,,,,,,,,
KUWHXdT39Rg,CRAZY CHANTS!,INSANE PINOY CROWDS!,,,,,,,,,,,,,,,,
kCxt924FTlk,-,,,,,,,,,,,,,,,,,
JC8RqTQWQsY,DEUS EX MACHINA,,,,,,,,,,,,,,,,,
AqccGzYs_y0,PANCIT MOLO,,,,,,,,,,,,,,,,,
QCcLyMzbZFs,DAY 10,,,,,,,,,,,,,,,,,
vGQSmDUpjJo,THIS IS MADNESS!,REACTION,,,,,,,,,,,,,,,,
qfoE9mzi6uY,INDONESIANS REACT TO,,,,,,,,,,,,,,,,,
T0vIpA-ieRg,-,,,,,,,,,,,,,,,,,
8TuUeyC25hM,wish,107.5,,,,,,,,,,,,,,,,
0Vem0r75N20,PHILIPPINES VLOG 16,- FIREFLY WATCHING -,,,,,,,,,,,,,,,,
7YOOMGt4nDo,HE KILLS IT!,REACTION,,,,,,,,,,,,,,,,
tBeWd3Vp3xo,PHILIPPINES VLOG 10,TRYING FILIPINO STREET FOOD,& FORT SANTIAGO,,,,,,,,,,,,,,,
hX78iKdROO8,THE,HUNTED,,,,,,,,,,,,,,,,
Cq8QgUPiIkE,-,,,,,,,,,,,,,,,,,
ubhIkV1YUss,Hands on,With Guns,,,,,,,,,,,,,,,,
wmEaIdXFlBc,P0503,,,,,,,,,,,,,,,,,
GfOtpM1aOoY,PROS!!,,,,,,,,,,,,,,,,,
HcvgU-dx7wE,FORT,,,,,,,,,,,,,,,,,
5StlXqODnXY,SISIG RECIPE,,,,,,,,,,,,,,,,,
qsps1kf4hII,I don't think I'll make it.,,,,,,,,,,,,,,,,,
Hu4uufoly0A,-,,,,,,,,,,,,,,,,,
FFH8n2NmPR8,NEW MUSIC FRIDAYS!,WHO'S THIS WEEK'S,WINNER?,EP.2,,,,,,,,,,,,,,
0v2WtXVOa_w,WOW!,,,,,,,,,,,,,,,,,
_Ph7bqLWgpE,UNIQUE!,REACTION,,,,,,,,,,,,,,,,
-XCc67Ijcz8,ARE THEY CRAZY??,,,,,,,,,,,,,,,,,
9n8e0KXDYgc,MICHAEL,PANGILINAN,LAY ME DOWN,REACTION,,,,,,,,,,,,,,
fYJz60SzptE,0304,,,,,,,,,,,,,,,,,
qw67u_GFn6k,I like this !!,,,,,,,,,,,,,,,,,
wQC9g0gwGl4,COWBOY BEBOP,SHE WASN'T,READY! LOL,,,,,,,,,,,,,,,
86gs985X5tU,MFK,By Aysee,MODERN FILIPINO,KITCHEN,,,,,,,,,,,,,,
4Jv38UQoLs0,NOOOO!!!,,,,,,,,,,,,,,,,,
nE5UNQxN6MM,BORACAY,VLOGGERS MEET IN THE,PHILIPPINES FOR FIRST TIME,,,,,,,,,,,,,,,
6Xi5e8lpOyo,I'M THE ONLY,FOREIGNER HERE,,DIDN'T EXPECT THIS!,,,,,,,,,,,,,,
V3K1fBAlNg8,"PILAR, BOHOL",DAGHAN ZBIG!!!,,,,,,,,,,,,,,,,
Ue_N-fBG9g8,IT'S HIM!,REACTION,,,,,,,,,,,,,,,,
oNeQRYQ7q4E,BICOL EXPRESS,,,,,,,,,,,,,,,,,
toLrmEYv8ZI,PUNGKOX2,,,,,,,,,,,,,,,,,
26KfQBXGHjw,SCRATCH IT CHALLENGE,"200,000 JACKPOT!",,,,,,,,,,,,,,,,
YwLkZXeGCDI,PHILIPPINES,FIRST IMPRESSIONS,,,,,,,,,,,,,,,,
f3oT8GFrlCI,KZ TANDINGAN,,,,,,,,,,,,,,,,,
sTqmE0Pfai8,KAYLA EATS CROCODILE!!!,,,,,,,,,,,,,,,,,
CwlLBToFGQY,RED VELVET,RBB,,,,,,,,,,,,,,,,
tHEt-bMm2cY,-,,,,,,,,,,,,,,,,,
RarcK7NBz_s,-,,,,,,,,,,,,,,,,,
GDLlPN-_4U4,FUNNY!,AAHHHH!!,,,,,,,,,,,,,,,,
OpLJGHUDXzU,-,,,,,,,,,,,,,,,,,
rv2eumxeflo,8 DAYS IN,THE PHILIPPINES,,,,,,,,,,,,,,,,
UBMTzd3gpnc,-,,,,,,,,,,,,,,,,,
Ezn90OendIo,I LAUGHED,SOOO MUCH!,,,,,,,,,,,,,,,,
2xwN3UTPtw4,HE WON'T,TELL ME,HIS,NAME???,,,,,,,,,,,,,,
M80_Zojj-1c,PHILIPPINES VLOG 13,~ KARAOKE NIGHT ~,,,,,,,,,,,,,,,,
2NXYIfHnKS0,-,,,,,,,,,,,,,,,,,
l_4wqkc2Aas,FINDING TURON!!!,,,,,,,,,,,,,,,,,
mzFTUdpTEhg,MOVE ON,THE SPOT,CHALLENGE,,,,,,,,,,,,,,,
M0lKXfyJh-I,IF FREDDIE MERCURY WERE FILIPINO,,,,,,,,,,,,,,,,,
2Qgww79CbL8,Because We're,FILIPINO!,Guam BBQ Block Party,,,,,,,,,,,,,,,
NWB3vzadxiE,Panlasang Pinoy,WHAT'S FOR,Noche Buena?,SISIG,,,,,,,,,,,,,,
vT8DmLx8PHU,Top 10 Philippines,,,,,,,,,,,,,,,,,
Qn3QZdRroVE,FOREIGNERS REACT TO,RAINY SEASON,IN MANILA,,,,,,,,,,,,,,,
FeV_PvkfUsE,"ea Salonga singing ""On My Own"" (Les",,,,,,,,,,,,,,,,,
sufxesh6dAU,-,,,,,,,,,,,,,,,,,
NY7WkZi_KJw,FOREIGNER,TRYING,,,,,,,,,,,,,,,,
DuqU3fQvRHE,@HottSamn,@HugKnuckles,,,,,,,,,,,,,,,,
CIo7dMaIoiY,"Son, I know your secret. Love you.",,,,,,,,,,,,,,,,,
n2oup0I-WGE,MY FIRST TIME,RIDING THE MRT,,,,,,,,,,,,,,,,
M_3mjYS0Bno,HC,,,,,,,,,,,,,,,,,
SrZAMIgeDZ8,Wish 107.5,idziw 2.70r,,,,,,,,,,,,,,,,
cvh0cSLddFk,KOREANS COOK,TAPSILOG,,,,,,,,,,,,,,,,
BomdsEJjb0E,PHILIPPINES,1ST CORONAVIRUS DEATH,,,,,,,,,,,,,,,,
cQyoDpQuDpI,LECHON,,,,,,,,,,,,,,,,,
9Ur99JzRwys,SO GOOD!,,,,,,,,,,,,,,,,,
CRm9AjRcNOE,MISS*UNIVERSE,CONFIDENTLY BEAUTIFUL,,,,,,,,,,,,,,,,
YG7p-spx4ok,-,,,,,,,,,,,,,,,,,
oTC-PkeNufw,We left America for the PHILIPPINES!,,,,,,,,,,,,,,,,,
1l9OAtbXp-M,are regionally specific.,,,,,,,,,,,,,,,,,
1IysclcSEjc,WOULD YOU,BE MAD?,REACTION,,,,,,,,,,,,,,,
HbUbZlLye-4,ESTOFADO,PROBINSYA,,,,,,,,,,,,,,,,
svJ2Ywe_c2k,VLOG #4,SHOOTING A TV COMMERCIAL,"in Manila, Philippines",,,,,,,,,,,,,,,
RGD9UP0qKdc,IS HE,THE,MALE,REGINE VELASQUEZ,,,,,,,,,,,,,,
XWq19I-NsF8,#1,Worst,Thing,,,,,,,,,,,,,,,
Sm8zLkZCNZs,ALJAZEERA,,,,,,,,,,,,,,,,,
VJu7qJRYqAc,Rigel25,Mr and Mrs A - Los Angeles CA,,,,,,,,,,,,,,,,
UthFkV6N9Gc,KOREANS REACT,,MMK KOREAN,,,,,,,,,,,,,,,
Kz3L3SRuNw8,Kumusta ka ya?,,,,,,,,,,,,,,,,,
xMtpWV-uCqk,SELENA GOMEZ - FETISH (FEAT. GUCCI MANE),MUSIC VIDEO REACTION,,,,,,,,,,,,,,,,
iNALxHVieYg,Morissette Amon,Akin Ka,Na Lang,,,,,,,,,,,,,,,
YGrLeNtmYqg,WAIT. WHAT?,INDONESIANS REACT TO,FILIPINO SENSATION KENNY CANEDO,,,,,,,,,,,,,,,
MjF1C6lvWI4,SARAH G EARNS MORE,THAN REGINE V??!,,,,,,,,,,,,,,,,
3_5eKn_QRD4,-,,,,,,,,,,,,,,,,,
8FBGDozHjH0,MARCELITO,NAILED THE,REMOTE CHALLENGE!,,,,,,,,,,,,,,,
u-y-dQbT0GQ,EMOTIONAL,EASTER REACTION,,,,,,,,,,,,,,,,
gmdYAbvm32Y,DATING A FILIPINA,,,,,,,,,,,,,,,,,
YsyFvM4KgIk,MY FAMILY VISITS THE PHILIPPINES,,,,,,,,,,,,,,,,,
ijX7huzRkUI,#ASAPTheFBulousShow,,,,,,,,,,,,,,,,,
HzVwdTVhrEc,THANK YOU,SARAH G,,,,,,,,,,,,,,,,
EYnqgk8eg8I,IS THIS,THE BEST,FILIPINO,BREAKFAST,IN THE,PHILIPPINES??,,,,,,,,,,,,
hk6kaIYwBAA,REGINE VELASQUEZ,AND I AM,TELLING YOU,REACTION,,,,,,,,,,,,,,
ArFaYJ_gst4,-,,,,,,,,,,,,,,,,,
